time,seconds_elapsed,z,y,x
1639426275389483000,0.00948291015625,-0.9194793701171875,-0.4323272705078125,-0.16839599609375
1639426275399446000,0.019446044921875,-0.8948974609375,-0.4528350830078125,-0.17413330078125
1639426275409409000,0.029408935546875,-0.8618316650390625,-0.4690704345703125,-0.17401123046875
1639426275419371800,0.039371826171875,-0.8242950439453125,-0.479400634765625,-0.1661834716796875
1639426275429334800,0.049334716796875,-0.8016510009765625,-0.4970245361328125,-0.1614837646484375
1639426275439297000,0.059297119140625,-0.80877685546875,-0.51416015625,-0.163665771484375
1639426275449260000,0.069260009765625,-0.8125762939453125,-0.517852783203125,-0.1657562255859375
1639426275459223000,0.07922314453125,-0.8087615966796875,-0.516448974609375,-0.175140380859375
1639426275469185800,0.089185791015625,-0.8148345947265625,-0.5185394287109375,-0.1855621337890625
1639426275479148800,0.099148681640625,-0.8324432373046875,-0.523529052734375,-0.186431884765625
1639426275489111000,0.109111083984375,-0.8553924560546875,-0.5296173095703125,-0.1934051513671875
1639426275499074000,0.119073974609375,-0.8671417236328125,-0.52923583984375,-0.2069549560546875
1639426275509037000,0.129037109375,-0.886810302734375,-0.53564453125,-0.2241058349609375
1639426275519000000,0.139,-0.89013671875,-0.53857421875,-0.2421722412109375
1639426275528962800,0.148962890625,-0.8832550048828125,-0.54345703125,-0.2510528564453125
1639426275538925000,0.158925048828125,-0.8730316162109375,-0.551788330078125,-0.2473602294921875
1639426275548888000,0.16888818359375,-0.8542327880859375,-0.5563507080078125,-0.235992431640625
1639426275558851000,0.17885107421875,-0.8368072509765625,-0.5584716796875,-0.2190704345703125
1639426275568814000,0.18881396484375,-0.8222808837890625,-0.5601959228515625,-0.20208740234375
1639426275578775800,0.19877587890625,-0.81085205078125,-0.566497802734375,-0.18798828125
1639426275588738800,0.20873876953125,-0.8022613525390625,-0.576416015625,-0.1793670654296875
1639426275598702000,0.2187021484375,-0.7888641357421875,-0.579986572265625,-0.1680145263671875
1639426275608665000,0.2286650390625,-0.76800537109375,-0.5827789306640625,-0.146209716796875
1639426275618628000,0.238628173828125,-0.7534332275390625,-0.59393310546875,-0.1342315673828125
1639426275628589800,0.24858984375,-0.7501373291015625,-0.5991668701171875,-0.1343536376953125
1639426275638552800,0.258552734375,-0.749359130859375,-0.606353759765625,-0.1393280029296875
1639426275648515800,0.268515869140625,-0.734100341796875,-0.611724853515625,-0.1485443115234375
1639426275658478800,0.278478759765625,-0.7080078125,-0.6119537353515625,-0.13427734375
1639426275668442000,0.288442138671875,-0.6943817138671875,-0.613922119140625,-0.11700439453125
