time,seconds_elapsed,z,y,x
1639426134265324800,0.05132470703125,-0.792999267578125,-0.2910308837890625,-0.4083404541015625
1639426134275345000,0.061344970703125,-0.8069915771484375,-0.277587890625,-0.373260498046875
1639426134285365000,0.071364990234375,-0.8387908935546875,-0.3982391357421875,-0.406646728515625
1639426134295384800,0.081384765625,-0.871124267578125,-0.4987945556640625,-0.434051513671875
1639426134305406000,0.091406005859375,-0.8739776611328125,-0.5414581298828125,-0.457305908203125
1639426134315425800,0.10142578125,-0.834869384765625,-0.5142822265625,-0.4675140380859375
1639426134325446000,0.11144580078125,-0.7857818603515625,-0.432464599609375,-0.428070068359375
1639426134335466000,0.121466064453125,-0.74713134765625,-0.3909759521484375,-0.3933258056640625
1639426134345485800,0.13148583984375,-0.73663330078125,-0.4091796875,-0.3796844482421875
1639426134355506000,0.141505859375,-0.750946044921875,-0.4391937255859375,-0.3573760986328125
1639426134365526000,0.151526123046875,-0.7514495849609375,-0.4497222900390625,-0.3288421630859375
1639426134375545900,0.1615458984375,-0.75860595703125,-0.442718505859375,-0.3144378662109375
1639426134385566000,0.17156591796875,-0.789520263671875,-0.432861328125,-0.312652587890625
1639426134395586000,0.1815859375,-0.83685302734375,-0.426055908203125,-0.3221435546875
1639426134405606100,0.191606201171875,-0.862274169921875,-0.4324798583984375,-0.35211181640625
1639426134415626000,0.2016259765625,-0.88214111328125,-0.4225616455078125,-0.358367919921875
1639426134425646000,0.21164599609375,-0.8764190673828125,-0.4096527099609375,-0.3471527099609375
1639426134435666000,0.221666015625,-0.844512939453125,-0.4107513427734375,-0.3325042724609375
1639426134445685800,0.231685791015625,-0.824554443359375,-0.3701324462890625,-0.285919189453125
1639426134455705900,0.241705810546875,-0.8333282470703125,-0.3515625,-0.2661285400390625
1639426134465727000,0.25172705078125,-0.864715576171875,-0.374786376953125,-0.265594482421875
1639426134475746800,0.261746826171875,-0.89874267578125,-0.4069366455078125,-0.2777557373046875
1639426134485767000,0.271766845703125,-0.9206085205078125,-0.4335479736328125,-0.3108978271484375
1639426134495787000,0.281787109375,-0.922882080078125,-0.4409942626953125,-0.32025146484375
1639426134505806800,0.291806884765625,-0.90020751953125,-0.42877197265625,-0.297821044921875
1639426134515827000,0.301826904296875,-0.8845062255859375,-0.4171600341796875,-0.2729644775390625
1639426134525847000,0.311846923828125,-0.8936614990234375,-0.415924072265625,-0.2783966064453125
1639426134535867000,0.321866943359375,-0.9033050537109375,-0.4297637939453125,-0.2816009521484375
1639426134545887000,0.331886962890625,-0.917388916015625,-0.454742431640625,-0.28558349609375
1639426134555907000,0.341906982421875,-0.917724609375,-0.4765167236328125,-0.30474853515625
1639426134565927000,0.351927001953125,-0.8897247314453125,-0.475433349609375,-0.28704833984375
1639426134575947000,0.361947021484375,-0.862640380859375,-0.46795654296875,-0.235626220703125
1639426134585967000,0.371967041015625,-0.8362579345703125,-0.46429443359375,-0.212493896484375
1639426134595987000,0.381987060546875,-0.8074188232421875,-0.4659576416015625,-0.2160491943359375
1639426134606008000,0.392008056640625,-0.7819061279296875,-0.468292236328125,-0.2250518798828125
1639426134616028000,0.40202783203125,-0.7471160888671875,-0.4670257568359375,-0.231903076171875
1639426134626047700,0.4120478515625,-0.7245941162109375,-0.470062255859375,-0.2340850830078125
1639426134636067800,0.42206787109375,-0.734039306640625,-0.4856109619140625,-0.27191162109375
1639426134646088000,0.432087890625,-0.7697601318359375,-0.5064239501953125,-0.3183746337890625
1639426134656107800,0.442107666015625,-0.8170166015625,-0.525665283203125,-0.3744659423828125
1639426134666128000,0.4521279296875,-0.8504486083984375,-0.5365142822265625,-0.41949462890625
1639426134676148000,0.46214794921875,-0.8961181640625,-0.528717041015625,-0.4290924072265625
1639426134686168000,0.47216796875,-0.9322052001953125,-0.4713287353515625,-0.3800506591796875
1639426134696188000,0.48218798828125,-0.92352294921875,-0.44586181640625,-0.3540802001953125
1639426134706208000,0.4922080078125,-0.90863037109375,-0.457550048828125,-0.331817626953125
1639426134716228000,0.50222802734375,-0.8740692138671875,-0.4794158935546875,-0.29833984375
1639426134726248000,0.512248046875,-0.8155364990234375,-0.4949493408203125,-0.2714385986328125
1639426134736268000,0.52226806640625,-0.7614898681640625,-0.50250244140625,-0.2614288330078125
1639426134746288000,0.5322880859375,-0.7575836181640625,-0.511199951171875,-0.2784881591796875
1639426134756308000,0.542307861328125,-0.7598876953125,-0.5110015869140625,-0.323883056640625
1639426134766329000,0.5523291015625,-0.7651214599609375,-0.50445556640625,-0.3800506591796875
1639426134776349200,0.56234912109375,-0.766326904296875,-0.5045013427734375,-0.426513671875
1639426134786368800,0.57236865234375,-0.764068603515625,-0.5096435546875,-0.483612060546875
1639426134796388900,0.582388916015625,-0.73834228515625,-0.4723968505859375,-0.496063232421875
1639426134806409000,0.592408935546875,-0.7970428466796875,-0.447418212890625,-0.5604705810546875
1639426134816428800,0.6024287109375,-0.809600830078125,-0.4598388671875,-0.6251678466796875
1639426134826449000,0.612448974609375,-0.804962158203125,-0.5192413330078125,-0.6164398193359375
1639426134836469000,0.622468994140625,-0.769989013671875,-0.616119384765625,-0.4977874755859375
1639426134846488800,0.63248876953125,-0.7282562255859375,-0.691986083984375,-0.3269805908203125
1639426134856509000,0.642509033203125,-0.6377716064453125,-0.6757965087890625,-0.2476959228515625
1639426134866529000,0.652529052734375,-0.585418701171875,-0.57049560546875,-0.2617645263671875
1639426134876549000,0.662549072265625,-0.6083984375,-0.4673919677734375,-0.2979888916015625
1639426134886569000,0.67256884765625,-0.6035308837890625,-0.408782958984375,-0.306427001953125
1639426134896589000,0.682589111328125,-0.604522705078125,-0.4361724853515625,-0.2581787109375
1639426134906610000,0.69260986328125,-0.586181640625,-0.49444580078125,-0.27392578125
1639426134916630000,0.702630126953125,-0.5572967529296875,-0.54803466796875,-0.3492889404296875
1639426134926650000,0.712650146484375,-0.5177764892578125,-0.574981689453125,-0.4241790771484375
1639426134936670000,0.722669921875,-0.51031494140625,-0.5336151123046875,-0.4997711181640625
1639426134946690000,0.73268994140625,-0.5669708251953125,-0.4894866943359375,-0.5269622802734375
1639426134956710100,0.742710205078125,-0.608856201171875,-0.4597930908203125,-0.509307861328125
1639426134966730200,0.752730224609375,-0.6192474365234375,-0.422698974609375,-0.5476531982421875
1639426134976750000,0.76275,-0.6049041748046875,-0.4353485107421875,-0.5712738037109375
1639426134986770200,0.772770263671875,-0.5654754638671875,-0.485137939453125,-0.563812255859375
1639426134996790300,0.782790283203125,-0.562957763671875,-0.5072784423828125,-0.5457611083984375
1639426135006810000,0.79281005859375,-0.6082763671875,-0.5032958984375,-0.628814697265625
1639426135016830000,0.802829833984375,-0.6973724365234375,-0.522705078125,-0.693939208984375
1639426135026850000,0.81285009765625,-0.76800537109375,-0.490142822265625,-0.68780517578125
1639426135036870000,0.822869873046875,-0.6628570556640625,-0.4168548583984375,-0.827972412109375
1639426135046891000,0.83289111328125,-0.4423065185546875,-0.416900634765625,-0.8138580322265625
1639426135056911000,0.8429111328125,-0.3057098388671875,-0.45263671875,-0.6898956298828125
1639426135066931000,0.852930908203125,-0.2722015380859375,-0.534881591796875,-0.6808929443359375
1639426135076951000,0.862950927734375,-0.32391357421875,-0.6376953125,-0.5727691650390625
