time,seconds_elapsed,z,y,x
1638753845829431600,0.054431640625,-0.987945556640625,-0.0338134765625,0.0154266357421875
1638753845839451600,0.06445166015625,-0.9864044189453125,-0.033905029296875,0.0138092041015625
1638753845849471500,0.074471435546875,-0.9829559326171875,-0.0341949462890625,0.0111236572265625
1638753845859492600,0.08449267578125,-0.9821319580078125,-0.033355712890625,0.01031494140625
1638753845869512400,0.094512451171875,-0.9854278564453125,-0.03369140625,0.0113677978515625
1638753845879533600,0.104533447265625,-0.9779815673828125,-0.0326995849609375,0.0111083984375
1638753845889553700,0.1145537109375,-0.96063232421875,-0.036895751953125,0.0034942626953125
1638753845899573500,0.124573486328125,-0.9875640869140625,-0.035125732421875,0.0113983154296875
1638753845909594600,0.1345947265625,-1.0044097900390625,-0.0350341796875,0.0211639404296875
1638753845919614500,0.144614501953125,-1.0029296875,-0.0356903076171875,0.0182037353515625
1638753845929635600,0.154635498046875,-0.992279052734375,-0.0350494384765625,0.0124359130859375
1638753845939655400,0.164655517578125,-0.9894561767578125,-0.035736083984375,0.0111846923828125
1638753845949676500,0.174676513671875,-0.9913482666015625,-0.034149169921875,0.01043701171875
1638753845959696600,0.184696533203125,-0.9862823486328125,-0.0334014892578125,0.0091552734375
1638753845969716500,0.194716552734375,-0.991546630859375,-0.0384063720703125,0.00555419921875
1638753845979737600,0.204737548828125,-0.9979705810546875,-0.0430908203125,0.0230712890625
1638753845989757400,0.21475732421875,-0.98736572265625,-0.0440216064453125,0.017242431640625
1638753845999778600,0.224778564453125,-0.98175048828125,-0.041168212890625,0.009002685546875
1638753846009798400,0.23479833984375,-0.98236083984375,-0.0408935546875,0.00628662109375
1638753846019819500,0.244819580078125,-0.9849853515625,-0.0411376953125,0.00677490234375
1638753846029839600,0.254839599609375,-0.9882659912109375,-0.0374298095703125,0.006195068359375
1638753846039859500,0.264859375,-0.989959716796875,-0.0352630615234375,0.0054168701171875
1638753846049880600,0.274880615234375,-0.9905242919921875,-0.034637451171875,0.00396728515625
1638753846059900400,0.284900390625,-0.989715576171875,-0.0355377197265625,0.0020751953125
1638753846069921500,0.294921630859375,-0.9884490966796875,-0.0354766845703125,0.00225830078125
1638753846079941600,0.304941650390625,-0.988433837890625,-0.03741455078125,0.0031585693359375
1638753846089961500,0.31496142578125,-0.988616943359375,-0.0377655029296875,0.003387451171875
1638753846099982600,0.324982666015625,-0.9893951416015625,-0.0375518798828125,0.0042877197265625
1638753846110002400,0.33500244140625,-0.9883880615234375,-0.0384979248046875,0.00506591796875
1638753846120023600,0.3450234375,-0.9897308349609375,-0.0385894775390625,0.0050811767578125
1638753846130043400,0.35504345703125,-0.9894866943359375,-0.0384521484375,0.00518798828125
1638753846140064500,0.365064453125,-0.9883880615234375,-0.0372314453125,0.00433349609375
1638753846150084600,0.375084716796875,-0.988128662109375,-0.037109375,0.003814697265625
1638753846160104400,0.3851044921875,-0.9887237548828125,-0.037872314453125,0.0035552978515625
1638753846170125600,0.39512548828125,-0.9885711669921875,-0.03759765625,0.003631591796875
1638753846180145400,0.4051455078125,-0.9889068603515625,-0.0377197265625,0.004150390625
1638753846190166500,0.41516650390625,-0.9893951416015625,-0.0380401611328125,0.004638671875
1638753846200186400,0.425186279296875,-0.98883056640625,-0.0387420654296875,0.004669189453125
1638753846210207500,0.43520751953125,-0.9891204833984375,-0.0394439697265625,0.0044097900390625
1638753846220227600,0.4452275390625,-0.988739013671875,-0.0399169921875,0.0054779052734375
1638753846230247400,0.455247314453125,-0.987945556640625,-0.04095458984375,0.0065765380859375
1638753846240268500,0.4652685546875,-0.9881591796875,-0.0440216064453125,0.0012054443359375
1638753846250288400,0.475288330078125,-0.995941162109375,-0.0417938232421875,0.0003814697265625
1638753846260309500,0.4853095703125,-0.989837646484375,-0.0411224365234375,0.0011749267578125
1638753846270329600,0.49532958984375,-0.97515869140625,-0.040924072265625,0.002349853515625
1638753846280350500,0.5053505859375,-0.961578369140625,-0.042205810546875,0.008148193359375
1638753846290370600,0.51537060546875,-0.9738311767578125,-0.0413055419921875,0.015167236328125
1638753846300390400,0.525390380859375,-0.9969940185546875,-0.02716064453125,0.014923095703125
1638753846310411500,0.53541162109375,-1.00390625,-0.0229034423828125,0.0072784423828125
1638753846320431400,0.545431396484375,-1.011322021484375,-0.0280303955078125,0.0058746337890625
1638753846330452500,0.555452392578125,-1.0098419189453125,-0.0330810546875,0.004638671875
1638753846340472600,0.56547265625,-0.9997711181640625,-0.0376434326171875,-0.00067138671875
1638753846350493700,0.57549365234375,-0.9890899658203125,-0.0385284423828125,-0.0028228759765625
1638753846360513500,0.585513427734375,-0.98577880859375,-0.0336456298828125,0.000244140625
1638753846370533400,0.595533447265625,-0.9843902587890625,-0.0290679931640625,0.0072479248046875
1638753846380554800,0.6055546875,-0.984710693359375,-0.039642333984375,0.01239013671875
1638753846390574300,0.61557421875,-0.9832916259765625,-0.0420074462890625,0.0137786865234375
1638753846400595700,0.625595703125,-0.9872589111328125,-0.0367584228515625,0.00836181640625
1638753846410615600,0.635615478515625,-0.991241455078125,-0.0392303466796875,0.006378173828125
1638753846420635400,0.645635498046875,-0.9906158447265625,-0.0425567626953125,0.003997802734375
1638753846430656800,0.65565673828125,-0.98480224609375,-0.0390777587890625,0.0023956298828125
1638753846440676400,0.66567626953125,-0.9822998046875,-0.03778076171875,0.0022430419921875
1638753846450697700,0.67569775390625,-0.984710693359375,-0.040069580078125,0.0039215087890625
1638753846460717600,0.685717529296875,-0.9881744384765625,-0.0388031005859375,0.0027008056640625
1638753846470738700,0.69573876953125,-0.9927978515625,-0.0375518798828125,0.001312255859375
1638753846480758800,0.7057587890625,-0.9961700439453125,-0.0361480712890625,-0.000732421875
1638753846490779600,0.715779541015625,-0.9948883056640625,-0.0338897705078125,-0.000335693359375
1638753846500799700,0.7257998046875,-0.9928131103515625,-0.0337982177734375,0.0009307861328125
1638753846510819600,0.735819580078125,-0.993560791015625,-0.03436279296875,0.00341796875
1638753846520840200,0.745840087890625,-0.991363525390625,-0.03619384765625,0.0049285888671875
1638753846530860300,0.7558603515625,-0.9903564453125,-0.03765869140625,0.0055694580078125
1638753846540881200,0.765881103515625,-0.987823486328125,-0.0399322509765625,0.006011962890625
1638753846550901200,0.7759013671875,-0.9864349365234375,-0.0405426025390625,0.00653076171875
1638753846560922400,0.78592236328125,-0.9866943359375,-0.04046630859375,0.0068817138671875
1638753846570942200,0.795942138671875,-0.9874114990234375,-0.0411834716796875,0.0075225830078125
1638753846580962300,0.80596240234375,-0.98822021484375,-0.0418548583984375,0.0077667236328125
1638753846590983200,0.815983154296875,-0.9878387451171875,-0.0396728515625,0.0066375732421875
1638753846601003300,0.826003173828125,-0.987060546875,-0.0391693115234375,0.0066986083984375
1638753846611024400,0.8360244140625,-0.987762451171875,-0.0393829345703125,0.0068206787109375
1638753846621044200,0.846044189453125,-0.9880523681640625,-0.0387725830078125,0.006195068359375
1638753846631065300,0.8560654296875,-0.9877777099609375,-0.03778076171875,0.005645751953125
1638753846641085400,0.86608544921875,-0.9903106689453125,-0.038330078125,0.00579833984375
1638753846651105300,0.876105224609375,-0.9918212890625,-0.038360595703125,0.0042572021484375
